Name,Alignment,Gender,Race,Height,Weight,Intelligence,Strength,Speed,Durability,Power,Combat,Power_Rank,Count,Race2
A-Bomb,good,Male,Human,203.0,441.0,38,100,17,80,17,64,316,1,Human
Abomination,bad,Male,Human / Radiation,203.0,441.0,63,80,53,90,55,95,436,1,Human / Radiation
Abraxas,bad,Male,Cosmic Entity,-99.0,-99.0,88,100,83,99,100,56,526,1,other
Agent Bob,good,Male,Human,178.0,81.0,10,8,13,5,5,20,61,1,Human
Agent Zero,good,Male,undefined,191.0,104.0,75,28,38,80,72,95,388,1,undefined
Air-Walker,bad,Male,undefined,188.0,108.0,50,85,100,85,100,40,460,1,undefined
Ammo,bad,Male,Human,188.0,101.0,1,1,1,1,0,1,5,1,Human
Angel,good,Male,undefined,183.0,68.0,63,13,46,64,17,42,245,1,undefined
Angel Salvadore,good,Female,undefined,163.0,54.0,38,10,28,28,46,60,210,1,undefined
Annihilus,bad,Male,undefined,180.0,90.0,75,80,47,56,59,64,381,1,undefined
Ant-Man,good,Male,Human,211.0,122.0,100,10,23,28,32,32,225,1,Human
Ant-Man II,good,Male,Human,183.0,86.0,63,10,23,28,32,28,184,1,Human
Apocalypse,bad,Male,Mutant,213.0,135.0,100,100,33,100,100,60,493,1,Mutant
Arachne,good,Female,Human,175.0,63.0,1,1,1,1,0,1,5,1,Human
Archangel,good,Male,Mutant,183.0,68.0,63,13,58,64,28,42,268,1,Mutant
Arclight,bad,Female,undefined,173.0,57.0,38,63,23,42,52,70,288,1,undefined
Ares,good,Male,undefined,185.0,270.0,75,82,35,80,62,101,435,1,undefined
Ariel,good,Female,undefined,165.0,59.0,50,10,12,14,72,28,186,1,undefined
Armor,good,Female,undefined,163.0,50.0,50,63,12,80,55,54,314,1,undefined
Atlas,good,Male,Mutant,183.0,101.0,50,80,23,99,69,42,363,1,Mutant
Aurora,good,Female,Mutant,180.0,63.0,50,15,83,56,69,56,329,1,Mutant
Azazel,bad,Male,Neyaphem,183.0,67.0,50,11,47,95,87,80,370,1,other
Banshee,good,Male,Human,183.0,77.0,50,10,58,42,60,70,290,1,Human
Bantam,good,Male,undefined,165.0,54.0,25,53,23,54,21,56,232,1,undefined
Battlestar,good,Male,undefined,198.0,133.0,50,53,35,74,48,74,334,1,undefined
Beak,good,Male,undefined,175.0,63.0,1,1,1,1,0,1,5,1,undefined
Beast,good,Male,Mutant,180.0,181.0,88,48,35,56,35,84,346,1,Mutant
Beetle,bad,Male,undefined,-99.0,-99.0,1,1,1,1,0,1,5,1,undefined
Beta Ray Bill,good,Male,undefined,201.0,216.0,63,80,35,95,100,84,457,1,undefined
Beyonder,good,Male,God / Eternal,-99.0,-99.0,88,100,23,100,100,56,467,1,God / Eternal
Big Man,bad,Male,undefined,165.0,71.0,75,12,23,28,19,70,227,1,undefined
Binary,good,Female,undefined,180.0,54.0,1,1,1,1,0,1,5,1,undefined
Bird-Brain,good,undefined,undefined,-99.0,-99.0,25,10,35,28,21,42,161,1,undefined
Bird-Man,bad,Male,Human,-99.0,-99.0,1,1,1,1,0,1,5,1,Human
Bird-Man II,bad,Male,Human,-99.0,-99.0,1,1,1,1,0,1,5,1,Human
Bishop,good,Male,Mutant,198.0,124.0,63,14,23,75,85,65,325,1,Mutant
Black Abbott,bad,Male,undefined,-99.0,-99.0,1,1,1,1,0,1,5,1,undefined
Black Bolt,good,Male,Inhuman,188.0,95.0,75,67,100,84,100,56,482,1,Inhuman
Black Cat,good,Female,Human,178.0,54.0,75,16,33,10,23,70,227,1,Human
Black Goliath,good,Male,undefined,-99.0,-99.0,1,1,1,1,0,1,5,1,undefined
Black Knight III,good,Male,Human,183.0,86.0,63,10,8,70,43,70,264,1,Human
Black Mamba,bad,Female,undefined,170.0,52.0,75,10,35,42,78,65,305,1,undefined
Black Panther,good,Male,Human,183.0,90.0,88,16,30,60,41,100,335,1,Human
Black Widow,good,Female,Human,170.0,59.0,75,13,27,32,32,100,279,1,Human
Black Widow II,good,Female,undefined,170.0,61.0,1,1,1,1,0,1,5,1,undefined
Blackout,bad,Male,Demon,191.0,104.0,63,32,45,80,38,65,323,1,Demon
Blackwing,bad,Male,undefined,185.0,86.0,38,10,35,32,20,56,191,1,undefined
Blade,good,Male,Vampire,188.0,97.0,63,28,38,50,33,90,302,1,other
